ID,FG_PCT_HOME,FG3_PCT_HOME,FT_PCT_HOME,OREB_HOME,DREB_HOME,REB_HOME,AST_HOME,STL_HOME,BLK_HOME,TOV_HOME,PF_HOME,PLUS_MINUS_HOME,FG_PCT_AWAY,FG3_PCT_AWAY,FT_PCT_AWAY,OREB_AWAY,DREB_AWAY,REB_AWAY,AST_AWAY,STL_AWAY,BLK_AWAY,TOV_AWAY,PF_AWAY,PLUS_MINUS_AWAY,WL_HOME
39293,0.392,0.25,0.741,12,31,43,14,7,3,16,23.0,-13,0.421,0.6,0.769,15,34,49,21,13,4,13,25.0,13,L
39294,0.44,0.25,0.806,20,29,49,26,11,3,18,18.0,-8,0.54,0.667,0.875,10,32,42,36,13,5,19,25.0,8,L
39295,0.407,0.444,0.778,8,27,35,19,7,5,14,28.0,-14,0.553,0.6,0.786,7,38,45,26,11,6,17,20.0,14,L
39296,0.413,0.273,0.75,13,26,39,25,6,5,11,34.0,-11,0.521,0.3,0.86,7,31,38,19,8,8,12,36.0,11,L
39297,0.473,0.381,0.75,12,32,44,28,6,5,15,24.0,-1,0.436,0.261,0.667,16,29,45,28,9,4,11,22.0,1,L
39298,0.437,0.2,0.826,16,29,45,27,4,4,12,22.0,-7,0.458,0.421,0.714,16,29,45,26,8,4,9,16.0,7,L
39299,0.417,0.286,0.571,11,23,34,22,11,5,16,18.0,3,0.426,0.154,0.84,7,34,41,14,8,7,19,17.0,-3,W
39300,0.5,0.615,0.792,15,23,38,21,6,7,12,21.0,14,0.481,0.273,0.667,20,23,43,19,6,6,18,23.0,-14,W
39301,0.48,0.353,0.778,11,30,41,23,11,6,18,16.0,8,0.463,0.3,0.538,12,24,36,17,11,3,18,20.0,-8,W
39302,0.418,0.263,0.806,14,36,50,30,4,5,13,26.0,-6,0.457,0.348,0.649,13,33,46,23,7,6,7,28.0,6,L
39303,0.455,0.4,0.818,7,29,36,23,5,4,12,19.0,-16,0.494,0.5,0.762,12,34,46,19,7,4,9,14.0,16,L
39304,0.44,0.25,0.55,23,35,58,21,9,4,14,21.0,16,0.333,0.35,0.846,11,28,39,14,6,0,16,20.0,-16,W
39305,0.349,0.304,0.576,13,32,45,16,9,4,16,22.0,-11,0.432,0.385,0.815,10,47,57,22,6,2,24,29.0,11,L
39306,0.415,0.3,0.818,8,23,31,19,8,2,17,25.0,-12,0.514,0.0,0.857,10,28,38,19,13,3,15,27.0,12,L
39307,0.397,0.267,0.735,15,32,47,18,2,2,13,18.0,-10,0.487,0.409,0.762,5,29,34,22,7,3,8,21.0,10,L
39308,0.333,0.182,0.75,14,29,43,20,4,1,14,15.0,-25,0.519,0.182,0.632,10,38,48,28,10,8,10,21.0,25,L
39309,0.392,0.5,0.607,15,29,44,16,7,2,8,24.0,-2,0.397,0.214,0.867,11,33,44,19,6,8,12,25.0,2,L
39310,0.5,0.429,0.8,13,33,46,28,5,4,14,25.0,5,0.437,0.286,0.714,13,28,41,24,9,4,13,23.0,-5,W
39311,0.508,0.1,0.761,5,23,28,25,14,11,18,24.0,18,0.378,0.214,0.793,18,24,42,13,11,3,28,36.0,-18,W
39312,0.4,0.385,0.781,15,32,47,21,5,1,16,23.0,-6,0.402,0.3,0.875,11,24,35,22,11,6,8,25.0,6,L
39313,0.469,0.333,0.893,13,31,44,26,12,3,11,19.0,12,0.474,0.5,0.75,8,25,33,19,4,3,17,22.0,-12,W
39314,0.549,0.5,0.769,6,29,35,26,8,4,17,27.0,19,0.412,0.333,0.581,9,24,33,13,7,4,17,15.0,-19,W
39315,0.506,0.412,0.774,8,38,46,28,8,7,19,19.0,13,0.398,0.286,0.737,16,30,46,24,11,5,11,21.0,-13,W
39316,0.538,0.4,0.75,13,27,40,18,4,8,13,18.0,3,0.5,0.364,0.739,13,25,38,20,6,0,7,23.0,-3,W
39317,0.518,0.333,0.739,7,37,44,31,12,3,11,16.0,21,0.404,0.714,0.611,15,33,48,20,7,3,18,19.0,-21,W
39318,0.37,0.143,0.792,10,43,53,19,9,9,18,21.0,4,0.357,0.125,0.842,8,39,47,18,8,3,13,22.0,-4,W
39319,0.479,0.533,0.581,11,39,50,21,4,5,15,23.0,9,0.352,0.25,0.815,17,29,46,19,10,2,9,30.0,-9,W
39320,0.44,0.211,0.923,11,29,40,23,6,3,8,20.0,13,0.457,0.2,0.786,14,29,43,20,7,5,12,21.0,-13,W
39321,0.443,0.333,0.6,12,29,41,25,10,4,8,23.0,14,0.383,0.278,0.727,17,30,47,18,1,6,18,16.0,-14,W
39322,0.429,0.444,0.773,11,28,39,19,7,10,12,20.0,-2,0.446,0.333,0.727,13,34,47,15,7,4,12,24.0,2,L
39323,0.448,0.385,0.769,13,31,44,27,8,3,11,15.0,7,0.482,0.385,0.647,10,32,42,27,3,8,12,19.0,-7,W
39324,0.57,0.5,0.71,11,36,47,27,6,1,9,21.0,25,0.463,0.182,0.8,6,23,29,20,4,4,9,22.0,-25,W
39325,0.426,0.333,0.889,9,23,32,17,11,8,18,24.0,8,0.427,0.222,0.64,16,28,44,17,7,7,24,28.0,-8,W
39326,0.451,0.4,0.704,8,32,40,16,9,4,13,20.0,9,0.361,0.421,0.667,17,27,44,22,6,3,18,23.0,-9,W
39327,0.462,0.3,0.8,11,31,42,21,6,3,15,26.0,-5,0.444,0.375,0.694,10,29,39,23,10,6,12,20.0,5,L
39328,0.367,0.313,0.815,13,30,43,18,10,5,14,16.0,7,0.423,0.455,0.583,11,32,43,18,6,4,18,23.0,-7,W
39329,0.5,0.455,0.722,6,29,35,23,10,0,17,24.0,6,0.432,0.273,0.679,10,30,40,14,10,3,17,14.0,-6,W
39330,0.407,0.286,0.84,13,31,44,15,7,7,15,18.0,2,0.402,0.333,0.684,19,29,48,25,11,5,15,24.0,-2,W
39331,0.524,0.56,0.857,14,31,45,29,14,6,16,28.0,20,0.45,0.273,0.821,11,25,36,24,9,3,17,23.0,-20,W
39332,0.437,0.455,0.783,21,35,56,15,4,3,13,20.0,2,0.389,0.36,0.857,15,26,41,13,7,12,9,20.0,-2,W
39333,0.554,0.385,0.739,5,30,35,35,9,2,14,23.0,11,0.421,0.32,0.84,10,23,33,21,8,6,13,17.0,-11,W
39334,0.648,0.636,0.697,5,29,34,32,7,6,9,27.0,19,0.411,0.462,0.742,26,25,51,21,6,4,14,27.0,-19,W
39335,0.417,0.421,0.778,12,35,47,21,6,12,14,27.0,3,0.345,0.263,0.75,19,34,53,15,8,4,17,25.0,-3,W
39336,0.6,0.429,0.636,9,34,43,28,6,9,17,23.0,11,0.458,0.316,0.63,20,24,44,20,13,2,13,24.0,-11,W
39337,0.463,0.571,0.737,15,22,37,26,4,4,15,21.0,-3,0.557,0.444,0.905,4,20,24,24,6,7,16,23.0,3,L
39338,0.392,0.148,0.652,14,31,45,17,5,8,12,22.0,-13,0.427,0.25,0.879,16,42,58,20,8,4,13,20.0,13,L
39339,0.36,0.333,0.684,18,31,49,23,7,3,22,26.0,-6,0.387,0.143,0.875,5,30,35,14,12,7,21,28.0,6,L
39340,0.471,0.333,0.794,15,34,49,27,8,5,13,32.0,9,0.429,0.267,0.769,12,26,38,20,9,1,15,31.0,-9,W
39341,0.466,0.333,0.556,13,27,40,24,4,5,12,23.0,-4,0.468,0.25,0.72,14,29,43,21,6,5,12,10.0,4,L
39342,0.431,0.462,0.737,14,33,47,21,12,3,23,18.0,9,0.408,0.0,0.846,8,24,32,24,16,2,16,19.0,-9,W
39343,0.426,0.5,0.667,9,31,40,14,6,5,23,23.0,-9,0.395,0.3,0.762,16,27,43,18,11,1,14,25.0,9,L
39344,0.446,0.286,0.767,10,34,44,23,12,2,12,20.0,12,0.403,0.25,0.742,12,30,42,15,7,5,19,26.0,-12,W
39345,0.489,0.296,0.765,12,31,43,26,10,8,13,25.0,-6,0.5,0.538,0.897,8,32,40,18,6,3,12,16.0,6,L
39346,0.357,0.2,0.792,14,31,45,20,9,6,12,17.0,5,0.341,0.333,0.923,19,37,56,19,7,6,19,24.0,-5,W
39347,0.5,0.467,0.593,5,31,36,16,8,7,9,17.0,3,0.463,0.25,0.905,11,36,47,27,4,2,14,23.0,-3,W
39348,0.542,0.529,0.75,10,32,42,26,13,5,11,23.0,25,0.397,0.421,0.733,12,25,37,22,5,4,17,16.0,-25,W
39349,0.451,0.556,0.773,9,29,38,33,13,5,17,28.0,3,0.437,0.364,0.759,14,34,48,23,10,7,25,25.0,-3,W
39350,0.446,0.4,0.826,16,31,47,20,11,9,12,21.0,2,0.494,0.357,0.621,14,32,46,23,8,5,16,23.0,-2,W
39351,0.4,0.3,0.7,6,28,34,19,6,2,17,23.0,-27,0.463,0.111,0.735,15,33,48,26,8,1,8,20.0,27,L
39352,0.467,0.267,0.88,7,36,43,26,6,5,12,19.0,6,0.411,0.389,0.563,13,24,37,26,7,4,8,23.0,-6,W
39353,0.451,0.353,0.733,15,17,32,16,9,4,16,20.0,-21,0.56,0.545,0.88,12,27,39,18,12,5,16,15.0,21,L
39354,0.393,0.5,0.647,17,27,44,16,8,3,14,22.0,-5,0.436,0.5,0.75,14,33,47,23,8,9,14,18.0,5,L
39355,0.449,0.3,0.864,7,36,43,14,5,13,12,14.0,3,0.4,0.444,0.857,16,35,51,26,6,2,6,17.0,-3,W
