ID,WL_HOME,FG_PCT_HOME,FG3_PCT_HOME,FT_PCT_HOME,OREB_HOME,DREB_HOME,REB_HOME,AST_HOME,STL_HOME,BLK_HOME,TOV_HOME,PF_HOME,PLUS_MINUS_HOME,FG_PCT_AWAY,FG3_PCT_AWAY,FT_PCT_AWAY,OREB_AWAY,DREB_AWAY,REB_AWAY,AST_AWAY,STL_AWAY,BLK_AWAY,TOV_AWAY,PF_AWAY,PLUS_MINUS_AWAY
41971,W,0.453,0.333,0.833,11,38,49,24,8,8,16,22.0,14,0.354,0.304,0.76,10,29,39,15,7,3,13,22.0,-14
41972,W,0.5,0.1,0.886,16,36,52,31,4,4,14,23.0,9,0.405,0.462,0.711,18,23,41,21,7,3,14,31.0,-9
41973,L,0.437,0.462,0.718,9,32,41,20,11,4,23,24.0,-15,0.457,0.533,0.864,20,29,49,20,11,6,18,28.0,15
41974,W,0.472,0.444,0.833,4,32,36,21,9,12,9,12.0,6,0.389,0.333,0.833,16,33,49,19,3,1,16,18.0,-6
41975,W,0.532,0.333,0.909,10,36,46,20,6,8,17,19.0,21,0.355,0.286,0.85,12,22,34,12,11,4,15,19.0,-21
41976,W,0.532,0.529,0.867,14,24,38,23,9,6,5,18.0,23,0.493,0.5,0.7,12,25,37,23,2,5,15,25.0,-23
41977,W,0.437,0.467,0.72,16,33,49,32,8,2,9,24.0,20,0.408,0.111,0.643,12,31,43,16,8,2,14,20.0,-20
41978,L,0.434,0.444,0.625,9,31,40,20,6,1,14,21.0,-8,0.459,0.273,0.65,13,35,48,12,7,5,11,20.0,8
41979,W,0.466,0.333,0.579,17,27,44,20,12,5,17,15.0,10,0.414,0.417,0.688,15,22,37,12,11,5,15,20.0,-10
41980,W,0.397,0.313,0.733,13,42,55,27,7,5,20,22.0,9,0.321,0.259,0.679,13,33,46,14,14,6,14,23.0,-9
